Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
gum disease,Periodontal Disease,ProblemsDim
periodontal inflammatory diseases,Periodontal Disease,ProblemsDim
pid,Periodontal Disease,ProblemsDim
periodontal disease,Periodontal Disease,ProblemsDim
throat inflammation,Pharyngitis,ProblemsDim
sore throat,Pharyngitis,ProblemsDim
tonsillitis,Pharyngitis,ProblemsDim
strep throat,Pharyngitis,ProblemsDim
pharyngeal infection,Pharyngitis,ProblemsDim
pharyngitis,Pharyngitis,ProblemsDim
asthma,Respiratory Disease,ProblemsDim
copd,Respiratory Disease,ProblemsDim
pneumonia,Respiratory Disease,ProblemsDim
bronchitis,Respiratory Disease,ProblemsDim
emphysema,Respiratory Disease,ProblemsDim
tuberculosis,Respiratory Disease,ProblemsDim
sars-cov-2,Respiratory Disease,ProblemsDim
influenza,Respiratory Disease,ProblemsDim
cystic fibrosis,Respiratory Disease,ProblemsDim
lung cancer,Respiratory Disease,ProblemsDim
chronic bronchitis,Respiratory Disease,ProblemsDim
acute bronchitis,Respiratory Disease,ProblemsDim
pulmonary fibrosis,Respiratory Disease,ProblemsDim
sleep apnea,Respiratory Disease,ProblemsDim
allergic rhinitis,Respiratory Disease,ProblemsDim
bronchiectasis,Respiratory Disease,ProblemsDim
lung infection,Respiratory Disease,ProblemsDim
respiratory failure,Respiratory Disease,ProblemsDim
interstitial lung disease,Respiratory Disease,ProblemsDim
respiratory disease,Respiratory Disease,ProblemsDim
allergic rhinitis,Rhinitis,ProblemsDim
inflammatory rhinitis,Rhinitis,ProblemsDim
non-allergic rhinitis,Rhinitis,ProblemsDim
viral rhinitis,Rhinitis,ProblemsDim
bacterial rhinitis,Rhinitis,ProblemsDim
fungal rhinitis,Rhinitis,ProblemsDim
rhinitis,Rhinitis,ProblemsDim
allergic rhinitis,Rhinitis and Sinusitis,ProblemsDim
sinusitis,Rhinitis and Sinusitis,ProblemsDim
acute sinusitis,Rhinitis and Sinusitis,ProblemsDim
chronic sinusitis,Rhinitis and Sinusitis,ProblemsDim
inflammatory rhinitis,Rhinitis and Sinusitis,ProblemsDim
recurrent acute rhinitis,Rhinitis and Sinusitis,ProblemsDim
recurrent acute sinusitis,Rhinitis and Sinusitis,ProblemsDim
rhinitis and sinusitis,Rhinitis and Sinusitis,ProblemsDim
runny nose,Rhinorrhea,ProblemsDim
nasal discharge,Rhinorrhea,ProblemsDim
clear nasal discharge,Rhinorrhea,ProblemsDim
postnasal drip,Rhinorrhea,ProblemsDim
watery nose,Rhinorrhea,ProblemsDim
rhinorrhea,Rhinorrhea,ProblemsDim
sinus inflammation,Sinusitis,ProblemsDim
rhinosinusitis,Sinusitis,ProblemsDim
sinusitis (acute),Sinusitis,ProblemsDim
sinusitis (chronic),Sinusitis,ProblemsDim
sinusitis (recurrent),Sinusitis,ProblemsDim
sinusitis,Sinusitis,ProblemsDim
st,Sore Throat,ProblemsDim
pharyngitis,Sore Throat,ProblemsDim
streptococcal pharyngitis,Sore Throat,ProblemsDim
tonsillitis,Sore Throat,ProblemsDim
viral pharyngitis,Sore Throat,ProblemsDim
throat pain,Sore Throat,ProblemsDim
sore throat symptoms,Sore Throat,ProblemsDim
sore throat,Sore Throat,ProblemsDim
dysgeusia,Taste Disorder,ProblemsDim
hypogeusia,Taste Disorder,ProblemsDim
parageusia,Taste Disorder,ProblemsDim
gustatory dysfunction,Taste Disorder,ProblemsDim
temporal lobe epilepsy,Taste Disorder,ProblemsDim
glossopharyngeal neuralgia,Taste Disorder,ProblemsDim
taste disorder,Taste Disorder,ProblemsDim
tonsil inflammation,Tonsillitis,ProblemsDim
swollen tonsils,Tonsillitis,ProblemsDim
throat infection,Tonsillitis,ProblemsDim
strep throat,Tonsillitis,ProblemsDim
quinsy,Tonsillitis,ProblemsDim
peritonsillar abscess,Tonsillitis,ProblemsDim
adenotonsillitis,Tonsillitis,ProblemsDim
tonsillitis,Tonsillitis,ProblemsDim
t.h.,Traumatic Hemotympanum,ProblemsDim
trauma-related bleeding in middle ear,Traumatic Hemotympanum,ProblemsDim
middle ear hematoma due to trauma,Traumatic Hemotympanum,ProblemsDim
traumatic middle ear hemorrhage,Traumatic Hemotympanum,ProblemsDim
traumatic hemotympanum,Traumatic Hemotympanum,ProblemsDim
vestibular disorder,Vertigo,ProblemsDim
benign paroxysmal positional vertigo (bppv),Vertigo,ProblemsDim
meniere's disease,Vertigo,ProblemsDim
labyrinthitis,Vertigo,ProblemsDim
vestibular neuronitis,Vertigo,ProblemsDim
perilymph fistula,Vertigo,ProblemsDim
superior canal dehiscence,Vertigo,ProblemsDim
cervical vertigo,Vertigo,ProblemsDim
central vertigo,Vertigo,ProblemsDim
vertigo,Vertigo,ProblemsDim
vd,Voice Disorder,ProblemsDim
vocal disorder,Voice Disorder,ProblemsDim
dysphonia,Voice Disorder,ProblemsDim
laryngitis,Voice Disorder,ProblemsDim
phonation disorder,Voice Disorder,ProblemsDim
speech disorder,Voice Disorder,ProblemsDim
vocal cord dysfunction,Voice Disorder,ProblemsDim
spasmodic dysphonia,Voice Disorder,ProblemsDim
paralysis of vocal cords,Voice Disorder,ProblemsDim
recurrent laryngitis,Voice Disorder,ProblemsDim
vocal nodules,Voice Disorder,ProblemsDim
voice disorder,Voice Disorder,ProblemsDim
dry mouth,Xerostomia,ProblemsDim
salivary gland dysfunction,Xerostomia,ProblemsDim
hypersalivation,Xerostomia,ProblemsDim
sicca syndrome,Xerostomia,ProblemsDim
mouth dryness,Xerostomia,ProblemsDim
xerostomia,Xerostomia,ProblemsDim
otitis media with effusion (ome),Otitis Media,ProblemsDim
otitis media with perforation (omp),Otitis Media,ProblemsDim
acute otitis media (aom),Otitis Media,ProblemsDim
chronic suppurative otitis media (csom),Otitis Media,ProblemsDim
serous otitis media (som),Otitis Media,ProblemsDim
otitis media,Otitis Media,ProblemsDim
bd,Bilateral Deafness,ProblemsDim
bilateral hearing loss,Bilateral Deafness,ProblemsDim
both ears deafness,Bilateral Deafness,ProblemsDim
deafness in both ears,Bilateral Deafness,ProblemsDim
bilateral deafness,Bilateral Deafness,ProblemsDim
com,Chronic Otitis Media,ProblemsDim
cot,Chronic Otitis Media,ProblemsDim
chronic middle ear infection,Chronic Otitis Media,ProblemsDim
chronic otitis media,Chronic Otitis Media,ProblemsDim
hearing loss,Deafness,ProblemsDim
deaf,Deafness,ProblemsDim
sensorineural hearing loss,Deafness,ProblemsDim
conductive hearing loss,Deafness,ProblemsDim
presbycusis,Deafness,ProblemsDim
noise-induced hearing loss,Deafness,ProblemsDim
congenital deafness,Deafness,ProblemsDim
sudden sensorineural hearing loss,Deafness,ProblemsDim
deafness,Deafness,ProblemsDim
otalgia,Earache,ProblemsDim
ear pain,Earache,ProblemsDim
acute otitis media,Earache,ProblemsDim
chronic otitis media,Earache,ProblemsDim
otitis externa,Earache,ProblemsDim
middle ear infection,Earache,ProblemsDim
outer ear infection,Earache,ProblemsDim
earache,Earache,ProblemsDim
deafness,Hearing Loss,ProblemsDim
hl,Hearing Loss,ProblemsDim
sensorineural hearing loss,Hearing Loss,ProblemsDim
conductive hearing loss,Hearing Loss,ProblemsDim
mixed hearing loss,Hearing Loss,ProblemsDim
presbycusis,Hearing Loss,ProblemsDim
noise-induced hearing loss,Hearing Loss,ProblemsDim
congenital hearing loss,Hearing Loss,ProblemsDim
hearing loss,Hearing Loss,ProblemsDim
tinnitus,Tinnitus,ProblemsDim
subjective tinnitus,Tinnitus,ProblemsDim
objective tinnitus,Tinnitus,ProblemsDim
pulsatile tinnitus,Tinnitus,ProblemsDim
non-pulsatile tinnitus,Tinnitus,ProblemsDim
ringing in ears,Tinnitus,ProblemsDim
buzzing in ears,Tinnitus,ProblemsDim
whistling in ears,Tinnitus,ProblemsDim
hr,Hypertensive Retinopathy,ProblemsDim
htn retinopathy,Hypertensive Retinopathy,ProblemsDim
hypertension retinopathy,Hypertensive Retinopathy,ProblemsDim
retinopathy htn,Hypertensive Retinopathy,ProblemsDim
htn eye disease,Hypertensive Retinopathy,ProblemsDim
hypertensive retinopathy,Hypertensive Retinopathy,ProblemsDim
aaa,Aneurysm,ProblemsDim
berry aneurysm,Aneurysm,ProblemsDim
saccular aneurysm,Aneurysm,ProblemsDim
cerebral aneurysm,Aneurysm,ProblemsDim
intracranial aneurysm,Aneurysm,ProblemsDim
abdominal aortic aneurysm,Aneurysm,ProblemsDim
thoracic aortic aneurysm,Aneurysm,ProblemsDim
aortic aneurysm,Aneurysm,ProblemsDim
brain aneurysm,Aneurysm,ProblemsDim
aneurysm,Aneurysm,ProblemsDim
"swelling of the deeper layers of skin and mucous membranes, angioedema attack",Angioedema,ProblemsDim
acute swelling of the deeper layers of skin and mucous membranes,Angioedema,ProblemsDim
hereditary angioedema,Angioedema,ProblemsDim
acquired angioedema,Angioedema,ProblemsDim
angioedema,Angioedema,ProblemsDim
au,Anterior Uveitis,ProblemsDim
iritis,Anterior Uveitis,ProblemsDim
anterior inflammation of the uvea,Anterior Uveitis,ProblemsDim
anterior uveitis,Anterior Uveitis,ProblemsDim
bb,Bilateral Blindness,ProblemsDim
bilateral vision loss,Bilateral Blindness,ProblemsDim
complete blindness,Bilateral Blindness,ProblemsDim
total blindness,Bilateral Blindness,ProblemsDim
no light perception,Bilateral Blindness,ProblemsDim
nlp,Bilateral Blindness,ProblemsDim
no light response,Bilateral Blindness,ProblemsDim
nlr,Bilateral Blindness,ProblemsDim
bilateral blindness,Bilateral Blindness,ProblemsDim
visual impairment,Blindness,ProblemsDim
loss of sight,Blindness,ProblemsDim
vision loss,Blindness,ProblemsDim
blind,Blindness,ProblemsDim
bilateral blindness,Blindness,ProblemsDim
unilateral blindness,Blindness,ProblemsDim
legal blindness,Blindness,ProblemsDim
partial sight,Blindness,ProblemsDim
near-sightedness,Blindness,ProblemsDim
farsightedness,Blindness,ProblemsDim
color blindness,Blindness,ProblemsDim
blindness,Blindness,ProblemsDim
ocular burning,Burning Sensation Of The Eyes,ProblemsDim
eye burn,Burning Sensation Of The Eyes,ProblemsDim
corneal burn,Burning Sensation Of The Eyes,ProblemsDim
conjunctival burn,Burning Sensation Of The Eyes,ProblemsDim
dry eye syndrome,Burning Sensation Of The Eyes,ProblemsDim
keratitis,Burning Sensation Of The Eyes,ProblemsDim
ophthalmic pain,Burning Sensation Of The Eyes,ProblemsDim
burning sensation of the eyes,Burning Sensation Of The Eyes,ProblemsDim
cataract surgery,Cataract,ProblemsDim
lens implantation,Cataract,ProblemsDim
phacoemulsification,Cataract,ProblemsDim
intraocular lens (iol),Cataract,ProblemsDim
yag laser capsulotomy,Cataract,ProblemsDim
aphakia,Cataract,ProblemsDim
pseudophakia,Cataract,ProblemsDim
cataract,Cataract,ProblemsDim
ce,Conjunctival Edema,ProblemsDim
conjunctivitis,Conjunctival Edema,ProblemsDim
swollen eye,Conjunctival Edema,ProblemsDim
red eye,Conjunctival Edema,ProblemsDim
inflamed conjunctiva,Conjunctival Edema,ProblemsDim
watery eye,Conjunctival Edema,ProblemsDim
pink eye,Conjunctival Edema,ProblemsDim
conjunctival edema,Conjunctival Edema,ProblemsDim
ch,Conjunctival Hemorrhage,ProblemsDim
subconjunctival hemorrhage,Conjunctival Hemorrhage,ProblemsDim
bloodshot eye,Conjunctival Hemorrhage,ProblemsDim
red eye,Conjunctival Hemorrhage,ProblemsDim
broken blood vessel in eye,Conjunctival Hemorrhage,ProblemsDim
conjunctival hemorrhage,Conjunctival Hemorrhage,ProblemsDim
ch,Conjunctival Hyperemia,ProblemsDim
red eye,Conjunctival Hyperemia,ProblemsDim
bloodshot eye,Conjunctival Hyperemia,ProblemsDim
inflamed conjunctiva,Conjunctival Hyperemia,ProblemsDim
hyperemic conjunctiva,Conjunctival Hyperemia,ProblemsDim
conjunctival hyperemia,Conjunctival Hyperemia,ProblemsDim
pink eye,Conjunctivitis,ProblemsDim
inflammation of the conjunctiva,Conjunctivitis,ProblemsDim
viral conjunctivitis,Conjunctivitis,ProblemsDim
bacterial conjunctivitis,Conjunctivitis,ProblemsDim
allergic conjunctivitis,Conjunctivitis,ProblemsDim
giant papillary conjunctivitis,Conjunctivitis,ProblemsDim
conjunctivitis,Conjunctivitis,ProblemsDim
ce,Corneal Edema,ProblemsDim
corneal swelling,Corneal Edema,ProblemsDim
corneal thickening,Corneal Edema,ProblemsDim
corneal clouding,Corneal Edema,ProblemsDim
corneal oedema,Corneal Edema,ProblemsDim
corneal congestion,Corneal Edema,ProblemsDim
corneal edema,Corneal Edema,ProblemsDim
ce,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
ca,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
cu,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
corneal defect,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
corneal injury,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
corneal lesion,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
corneal damage,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
corneal erosion/corneal abrasion/corneal ulcer,Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim
cme,Cystoid Macular Edema (Cme),ProblemsDim
cystoid macular edema,Cystoid Macular Edema (Cme),ProblemsDim
cystoid macular edema (cme),Cystoid Macular Edema (Cme),ProblemsDim
diop,Decreased Intraocular Pressure,ProblemsDim
low iop,Decreased Intraocular Pressure,ProblemsDim
decreased eye pressure,Decreased Intraocular Pressure,ProblemsDim
glaucoma - low pressure,Decreased Intraocular Pressure,ProblemsDim
iop decrease,Decreased Intraocular Pressure,ProblemsDim
decreased intraocular pressure,Decreased Intraocular Pressure,ProblemsDim
dm1,Diabetes Mellitus Type 1,ProblemsDim
type 1 diabetes,Diabetes Mellitus Type 1,ProblemsDim
t1d,Diabetes Mellitus Type 1,ProblemsDim
juvenile diabetes,Diabetes Mellitus Type 1,ProblemsDim
insulin-dependent diabetes mellitus,Diabetes Mellitus Type 1,ProblemsDim
iddm,Diabetes Mellitus Type 1,ProblemsDim
diabetes mellitus type 1,Diabetes Mellitus Type 1,ProblemsDim
diabetic lens opacification,Diabetic Cataract,ProblemsDim
diabetic retinopathy cataract,Diabetic Cataract,ProblemsDim
drc,Diabetic Cataract,ProblemsDim
diabetes-related cataract,Diabetic Cataract,ProblemsDim
diabetic eye disease cataract,Diabetic Cataract,ProblemsDim
diabetic cataract,Diabetic Cataract,ProblemsDim
dr,Diabetic Retinopathy,ProblemsDim
diabetic retinopathies,Diabetic Retinopathy,ProblemsDim
diabetic eye disease,Diabetic Retinopathy,ProblemsDim
diabetic macular edema,Diabetic Retinopathy,ProblemsDim
diabetic maculopathy,Diabetic Retinopathy,ProblemsDim
proliferative diabetic retinopathy,Diabetic Retinopathy,ProblemsDim
non-proliferative diabetic retinopathy,Diabetic Retinopathy,ProblemsDim
diabetic retinopathy,Diabetic Retinopathy,ProblemsDim
endo,Endophthalmitis,ProblemsDim
endophthalmic inflammation,Endophthalmitis,ProblemsDim
intraocular inflammation,Endophthalmitis,ProblemsDim
postoperative endophthalmitis,Endophthalmitis,ProblemsDim
bacterial endophthalmitis,Endophthalmitis,ProblemsDim
fungal endophthalmitis,Endophthalmitis,ProblemsDim
viral endophthalmitis,Endophthalmitis,ProblemsDim
endophthalmitis,Endophthalmitis,ProblemsDim
tear discharge,Epiphora,ProblemsDim
lacrimation,Epiphora,ProblemsDim
watery eye,Epiphora,ProblemsDim
excessive tearing,Epiphora,ProblemsDim
eye watering,Epiphora,ProblemsDim
epiphora,Epiphora,ProblemsDim
proptosis,Exophthalmos,ProblemsDim
bulging eyes,Exophthalmos,ProblemsDim
orbital dysthyroid eye disease,Exophthalmos,ProblemsDim
thyroid eye disease,Exophthalmos,ProblemsDim
graves' ophthalmopathy,Exophthalmos,ProblemsDim
dysthyroid orbitopathy,Exophthalmos,ProblemsDim
exophthalmos,Exophthalmos,ProblemsDim
amd,Exudative Macular Degeneration,ProblemsDim
exudative armd,Exudative Macular Degeneration,ProblemsDim
neovascular amd,Exudative Macular Degeneration,ProblemsDim
wet amd,Exudative Macular Degeneration,ProblemsDim
choroidal neovascularization,Exudative Macular Degeneration,ProblemsDim
cnv,Exudative Macular Degeneration,ProblemsDim
macular edema,Exudative Macular Degeneration,ProblemsDim
subretinal fluid,Exudative Macular Degeneration,ProblemsDim
exudative macular degeneration,Exudative Macular Degeneration,ProblemsDim
amd (age-related macular degeneration),Eye Disorder,ProblemsDim
cataract,Eye Disorder,ProblemsDim
glaucoma,Eye Disorder,ProblemsDim
retinal detachment,Eye Disorder,ProblemsDim
diabetic retinopathy,Eye Disorder,ProblemsDim
macular hole,Eye Disorder,ProblemsDim
strabismus,Eye Disorder,ProblemsDim
conjunctivitis,Eye Disorder,ProblemsDim
pterygium,Eye Disorder,ProblemsDim
keratoconus,Eye Disorder,ProblemsDim
eye disorder,Eye Disorder,ProblemsDim
ocular pain,Eye Pain,ProblemsDim
eyeache,Eye Pain,ProblemsDim
op,Eye Pain,ProblemsDim
ophthalmic pain,Eye Pain,ProblemsDim
eye pain,Eye Pain,ProblemsDim
eyelid swelling,Eyelid Edema,ProblemsDim
periorbital edema,Eyelid Edema,ProblemsDim
lid swelling,Eyelid Edema,ProblemsDim
swollen eyelid,Eyelid Edema,ProblemsDim
peri-ocular edema,Eyelid Edema,ProblemsDim
eyelid edema,Eyelid Edema,ProblemsDim
open-angle glaucoma,Glaucoma,ProblemsDim
closed-angle glaucoma,Glaucoma,ProblemsDim
primary open-angle glaucoma,Glaucoma,ProblemsDim
secondary open-angle glaucoma,Glaucoma,ProblemsDim
normal-tension glaucoma,Glaucoma,ProblemsDim
angle-closure glaucoma,Glaucoma,ProblemsDim
congenital glaucoma,Glaucoma,ProblemsDim
pigmentary glaucoma,Glaucoma,ProblemsDim
neovascular glaucoma,Glaucoma,ProblemsDim
traumatic glaucoma,Glaucoma,ProblemsDim
exfoliative glaucoma,Glaucoma,ProblemsDim
uveitic glaucoma,Glaucoma,ProblemsDim
pseudophakic glaucoma,Glaucoma,ProblemsDim
aphakic glaucoma,Glaucoma,ProblemsDim
narrow-angle glaucoma,Glaucoma,ProblemsDim
chronic angle-closure glaucoma,Glaucoma,ProblemsDim
acute angle-closure glaucoma,Glaucoma,ProblemsDim
glaucoma,Glaucoma,ProblemsDim
open-angle glaucoma,Glaucoma glaucoma,ProblemsDim
closed-angle glaucoma,Glaucoma glaucoma,ProblemsDim
primary open-angle glaucoma,Glaucoma glaucoma,ProblemsDim
secondary open-angle glaucoma,Glaucoma glaucoma,ProblemsDim
normal-tension glaucoma,Glaucoma glaucoma,ProblemsDim
angle-closure glaucoma,Glaucoma glaucoma,ProblemsDim
congenital glaucoma,Glaucoma glaucoma,ProblemsDim
pigmentary glaucoma,Glaucoma glaucoma,ProblemsDim
neovascular glaucoma,Glaucoma glaucoma,ProblemsDim
traumatic glaucoma,Glaucoma glaucoma,ProblemsDim
uveitic glaucoma,Glaucoma glaucoma,ProblemsDim
glaucoma glaucoma,Glaucoma glaucoma,ProblemsDim
retinal hemorrhage,Hemophthalmias,ProblemsDim
vitreous hemorrhage,Hemophthalmias,ProblemsDim
choroidal hemorrhage,Hemophthalmias,ProblemsDim
subconjunctival hemorrhage,Hemophthalmias,ProblemsDim
intraocular hemorrhage,Hemophthalmias,ProblemsDim
hemophthalmias,Hemophthalmias,ProblemsDim
hc,Hemorrhagic Conjunctivitis,ProblemsDim
hemorrhagic eye inflammation,Hemorrhagic Conjunctivitis,ProblemsDim
red eye,Hemorrhagic Conjunctivitis,ProblemsDim
pink eye,Hemorrhagic Conjunctivitis,ProblemsDim
subconjunctival hemorrhage,Hemorrhagic Conjunctivitis,ProblemsDim
conjunctivitis with bleeding,Hemorrhagic Conjunctivitis,ProblemsDim
hemorrhagic conjunctivitis,Hemorrhagic Conjunctivitis,ProblemsDim
corneal inflammation,Keratitis,ProblemsDim
inflammation of the cornea,Keratitis,ProblemsDim
corneal ulcer,Keratitis,ProblemsDim
keratoconjunctivitis,Keratitis,ProblemsDim
corneal disease,Keratitis,ProblemsDim
keratitis,Keratitis,ProblemsDim
dry eye syndrome,Keratoconjunctivitis Sicca,ProblemsDim
kcs,Keratoconjunctivitis Sicca,ProblemsDim
xerophthalmia,Keratoconjunctivitis Sicca,ProblemsDim
dry eye disease,Keratoconjunctivitis Sicca,ProblemsDim
keratoconjunctivitis sicca,Keratoconjunctivitis Sicca,ProblemsDim
amd,Macular Degeneration,ProblemsDim
armd,Macular Degeneration,ProblemsDim
age-related macular degeneration,Macular Degeneration,ProblemsDim
drusen,Macular Degeneration,ProblemsDim
exudative armd,Macular Degeneration,ProblemsDim
dry armd,Macular Degeneration,ProblemsDim
wet armd,Macular Degeneration,ProblemsDim
neovascular armd,Macular Degeneration,ProblemsDim
macular degeneration,Macular Degeneration,ProblemsDim
me,Macular Edema,ProblemsDim
cme,Macular Edema,ProblemsDim
central serous macular edema,Macular Edema,ProblemsDim
diabetic macular edema,Macular Edema,ProblemsDim
branch retinal vein occlusion macular edema,Macular Edema,ProblemsDim
central retinal vein occlusion macular edema,Macular Edema,ProblemsDim
macular edema secondary to age-related macular degeneration,Macular Edema,ProblemsDim
macular edema,Macular Edema,ProblemsDim
nearsightedness,"Myopia, Hyperopia",ProblemsDim
short-sightedness,"Myopia, Hyperopia",ProblemsDim
farsightedness,"Myopia, Hyperopia",ProblemsDim
long-sightedness,"Myopia, Hyperopia",ProblemsDim
"myopia, hyperopia","Myopia, Hyperopia",ProblemsDim
nystagmus (ophthalmology),Nystagmus,ProblemsDim
nystagmus (neurology),Nystagmus,ProblemsDim
nystagmus,Nystagmus,ProblemsDim
oht,Ocular Hypertension,ProblemsDim
high eye pressure,Ocular Hypertension,ProblemsDim
glaucoma precursor,Ocular Hypertension,ProblemsDim
elevated intraocular pressure,Ocular Hypertension,ProblemsDim
ocular hypertension,Ocular Hypertension,ProblemsDim
on,Optic Neuritis,ProblemsDim
optic neuropathy,Optic Neuritis,ProblemsDim
optic neuronitis,Optic Neuritis,ProblemsDim
optic nerve inflammation,Optic Neuritis,ProblemsDim
optic neuritis (on),Optic Neuritis,ProblemsDim
optic neuritis,Optic Neuritis,ProblemsDim
pu,Posterior Uveitis,ProblemsDim
posteritis,Posterior Uveitis,ProblemsDim
posterior inflammation of the uvea,Posterior Uveitis,ProblemsDim
posterior uveitis,Posterior Uveitis,ProblemsDim
poag,Primary Open Angle Glaucoma,ProblemsDim
"glaucoma, primary open angle",Primary Open Angle Glaucoma,ProblemsDim
primary open angle glaucoma,Primary Open Angle Glaucoma,ProblemsDim
poag,Primary Open-Angle Glaucoma (Poag),ProblemsDim
glaucoma poag,Primary Open-Angle Glaucoma (Poag),ProblemsDim
open-angle glaucoma,Primary Open-Angle Glaucoma (Poag),ProblemsDim
primary glaucoma,Primary Open-Angle Glaucoma (Poag),ProblemsDim
chronic open-angle glaucoma,Primary Open-Angle Glaucoma (Poag),ProblemsDim
primary open-angle glaucoma (poag),Primary Open-Angle Glaucoma (Poag),ProblemsDim
glaucoma,Raised Intraocular Pressure,ProblemsDim
iop increase,Raised Intraocular Pressure,ProblemsDim
high eye pressure,Raised Intraocular Pressure,ProblemsDim
ocular hypertension,Raised Intraocular Pressure,ProblemsDim
raised intraocular pressure,Raised Intraocular Pressure,ProblemsDim
low vision,Reduced Visual Aucity,ProblemsDim
decreased visual acuity,Reduced Visual Aucity,ProblemsDim
impaired vision,Reduced Visual Aucity,ProblemsDim
vision loss,Reduced Visual Aucity,ProblemsDim
blurred vision,Reduced Visual Aucity,ProblemsDim
reduced visual aucity,Reduced Visual Aucity,ProblemsDim
rd,Retinal Detachment,ProblemsDim
retinal detachment syndrome,Retinal Detachment,ProblemsDim
rds,Retinal Detachment,ProblemsDim
retinal detachment disorder,Retinal Detachment,ProblemsDim
retinal detachment disease,Retinal Detachment,ProblemsDim
retinal detachment,Retinal Detachment,ProblemsDim
rrhwd,Retinal Round Hole Without Detachment,ProblemsDim
retinal round hole with out detachment,Retinal Round Hole Without Detachment,ProblemsDim
rrhwo,Retinal Round Hole Without Detachment,ProblemsDim
round retinal hole without detachment,Retinal Round Hole Without Detachment,ProblemsDim
rrh wod,Retinal Round Hole Without Detachment,ProblemsDim
retinal round hole without detachment,Retinal Round Hole Without Detachment,ProblemsDim
diabetic retinopathy,Retinopathy,ProblemsDim
proliferative diabetic retinopathy,Retinopathy,ProblemsDim
non-proliferative diabetic retinopathy,Retinopathy,ProblemsDim
macular edema,Retinopathy,ProblemsDim
retinal vein occlusion,Retinopathy,ProblemsDim
branch retinal vein occlusion,Retinopathy,ProblemsDim
central retinal vein occlusion,Retinopathy,ProblemsDim
diabetic macular edema,Retinopathy,ProblemsDim
retinal detachment,Retinopathy,ProblemsDim
vitreous hemorrhage,Retinopathy,ProblemsDim
retinal artery occlusion,Retinopathy,ProblemsDim
macular ischemia,Retinopathy,ProblemsDim
retinal neovascularization,Retinopathy,ProblemsDim
retinal laser treatment,Retinopathy,ProblemsDim
intravitreal injection,Retinopathy,ProblemsDim
anti-vegf therapy,Retinopathy,ProblemsDim
retinopathy,Retinopathy,ProblemsDim
rme,Retinopathy With Macular Edema,ProblemsDim
diabetic retinopathy with macular edema,Retinopathy With Macular Edema,ProblemsDim
drme,Retinopathy With Macular Edema,ProblemsDim
macular edema due to diabetic retinopathy,Retinopathy With Macular Edema,ProblemsDim
dme associated with diabetic retinopathy,Retinopathy With Macular Edema,ProblemsDim
retinopathy with macular edema,Retinopathy With Macular Edema,ProblemsDim
visual impairment,Vision Problem,ProblemsDim
myopia,Vision Problem,ProblemsDim
hypermetropia,Vision Problem,ProblemsDim
astigmatism,Vision Problem,ProblemsDim
presbyopia,Vision Problem,ProblemsDim
nystagmus,Vision Problem,ProblemsDim
diplopia,Vision Problem,ProblemsDim
amblyopia,Vision Problem,ProblemsDim
strabismus,Vision Problem,ProblemsDim
retinopathy,Vision Problem,ProblemsDim
cataract,Vision Problem,ProblemsDim
glaucoma,Vision Problem,ProblemsDim
macular degeneration,Vision Problem,ProblemsDim
vision problem,Vision Problem,ProblemsDim
vision impairment,Visual Defects,ProblemsDim
blindness,Visual Defects,ProblemsDim
color blindness,Visual Defects,ProblemsDim
nearsightedness,Visual Defects,ProblemsDim
farsightedness,Visual Defects,ProblemsDim
astigmatism,Visual Defects,ProblemsDim
presbyopia,Visual Defects,ProblemsDim
cataract,Visual Defects,ProblemsDim
glaucoma,Visual Defects,ProblemsDim
macular degeneration,Visual Defects,ProblemsDim
retinal detachment,Visual Defects,ProblemsDim
diabetic retinopathy,Visual Defects,ProblemsDim
visual defects,Visual Defects,ProblemsDim
vd,Visual Disturbances,ProblemsDim
vision disorder,Visual Disturbances,ProblemsDim
visual impairment,Visual Disturbances,ProblemsDim
blindness,Visual Disturbances,ProblemsDim
low vision,Visual Disturbances,ProblemsDim
asthenopia,Visual Disturbances,ProblemsDim
diplopia,Visual Disturbances,ProblemsDim
nystagmus,Visual Disturbances,ProblemsDim
scotoma,Visual Disturbances,ProblemsDim
photophobia,Visual Disturbances,ProblemsDim
color blindness,Visual Disturbances,ProblemsDim
amblyopia,Visual Disturbances,ProblemsDim
presbyopia,Visual Disturbances,ProblemsDim
retinopathy,Visual Disturbances,ProblemsDim
cataract,Visual Disturbances,ProblemsDim
glaucoma,Visual Disturbances,ProblemsDim
macular degeneration,Visual Disturbances,ProblemsDim
strabismus,Visual Disturbances,ProblemsDim
vitreous detachment,Visual Disturbances,ProblemsDim
visual disturbances,Visual Disturbances,ProblemsDim
vs,Visual Symptoms,ProblemsDim
vision symptom,Visual Symptoms,ProblemsDim
ocular symptom,Visual Symptoms,ProblemsDim
