sub_disease_name,section_name,parent_disease_name,level
Oral Health Conditions,ProblemsDim,Diseases and disorders of the digestive system,1
Oral Mucosal System,ProblemsDim,Diseases and disorders of the digestive system,1
Paralytic Ileus,ProblemsDim,Diseases and disorders of the digestive system,1
Peptic Ulcer,ProblemsDim,Diseases and disorders of the digestive system,1
Peritonitis,ProblemsDim,Diseases and disorders of the digestive system,1
Peritonitis Perforation,ProblemsDim,Diseases and disorders of the digestive system,1
Rectal Pain,ProblemsDim,Diseases and disorders of the digestive system,1
Recurrent Vomiting,ProblemsDim,Diseases and disorders of the digestive system,1
Small intestinal bacterial overgrowth (SIBO),ProblemsDim,Diseases and disorders of the digestive system,1
Thirst,ProblemsDim,Diseases and disorders of the digestive system,1
Toxic Megacolon,ProblemsDim,Diseases and disorders of the digestive system,1
Ulcerative Esophagitis,ProblemsDim,Diseases and disorders of the digestive system,1
Upper Gastrointestinal Bleeding,ProblemsDim,Diseases and disorders of the digestive system,1
Vomiting,ProblemsDim,Diseases and disorders of the digestive system,1
"Diseases and disorders of the ear, nose, mouth and throat",ProblemsDim,,0
Aasopharyngitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Acute Nasopharyngitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Acute Pharyngitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Acute Pharyngitis And Tonsillitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Acute Sinusitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Acute Tonsillitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Chronic Sinusitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Dental Caries,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Dysgeusia,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Epistaxis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Gingival Hemorrhage,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Gingivitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Glossodynia,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Mouth Candidiasis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Mouth Ulcer /Tongue Ulcer,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Mouth Ulcers / Canker Sores,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Nasopharyngitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Oropharyngeal Symptoms,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Periodontal Disease,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Pharyngitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Respiratory Disease,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Rhinitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Rhinitis and Sinusitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Rhinorrhea,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Sinusitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Sore Throat,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Taste Disorder,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Tonsillitis,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Traumatic Hemotympanum,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Vertigo,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Voice Disorder,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Xerostomia,ProblemsDim,"Diseases and disorders of the ear, nose, mouth and throat",1
Diseases and disorders of the ENT,ProblemsDim,,0
Otitis Media,ProblemsDim,Diseases and disorders of the ENT,1
Bilateral Deafness,ProblemsDim,Diseases and disorders of the ENT,1
Chronic Otitis Media,ProblemsDim,Diseases and disorders of the ENT,1
Deafness,ProblemsDim,Diseases and disorders of the ENT,1
Earache,ProblemsDim,Diseases and disorders of the ENT,1
Hearing Loss,ProblemsDim,Diseases and disorders of the ENT,1
Tinnitus,ProblemsDim,Diseases and disorders of the ENT,1
Diseases and disorders of the eye,ProblemsDim,,0
Hypertensive Retinopathy,ProblemsDim,Diseases and disorders of the eye,1
Aneurysm,ProblemsDim,Diseases and disorders of the eye,1
Angioedema,ProblemsDim,Diseases and disorders of the eye,1
Anterior Uveitis,ProblemsDim,Diseases and disorders of the eye,1
Bilateral Blindness,ProblemsDim,Diseases and disorders of the eye,1
Blindness,ProblemsDim,Diseases and disorders of the eye,1
Burning Sensation Of The Eyes,ProblemsDim,Diseases and disorders of the eye,1
Cataract,ProblemsDim,Diseases and disorders of the eye,1
Conjunctival Edema,ProblemsDim,Diseases and disorders of the eye,1
Conjunctival Hemorrhage,ProblemsDim,Diseases and disorders of the eye,1
Conjunctival Hyperemia,ProblemsDim,Diseases and disorders of the eye,1
Conjunctivitis,ProblemsDim,Diseases and disorders of the eye,1
Corneal Edema,ProblemsDim,Diseases and disorders of the eye,1
Corneal Erosion/Corneal Abrasion/Corneal Ulcer,ProblemsDim,Diseases and disorders of the eye,1
Cystoid Macular Edema (Cme),ProblemsDim,Diseases and disorders of the eye,1
Decreased Intraocular Pressure,ProblemsDim,Diseases and disorders of the eye,1
Diabetes Mellitus Type 1,ProblemsDim,Diseases and disorders of the eye,1
Diabetic Cataract,ProblemsDim,Diseases and disorders of the eye,1
Diabetic Retinopathy,ProblemsDim,Diseases and disorders of the eye,1
Endophthalmitis,ProblemsDim,Diseases and disorders of the eye,1
Epiphora,ProblemsDim,Diseases and disorders of the eye,1
Exophthalmos,ProblemsDim,Diseases and disorders of the eye,1
Exudative Macular Degeneration,ProblemsDim,Diseases and disorders of the eye,1
Eye Disorder,ProblemsDim,Diseases and disorders of the eye,1
Eye Pain,ProblemsDim,Diseases and disorders of the eye,1
Eyelid Edema,ProblemsDim,Diseases and disorders of the eye,1
Glaucoma,ProblemsDim,Diseases and disorders of the eye,1
Glaucoma glaucoma,ProblemsDim,Diseases and disorders of the eye,1
Hemophthalmias,ProblemsDim,Diseases and disorders of the eye,1
Hemorrhagic Conjunctivitis,ProblemsDim,Diseases and disorders of the eye,1
Keratitis,ProblemsDim,Diseases and disorders of the eye,1
Keratoconjunctivitis Sicca,ProblemsDim,Diseases and disorders of the eye,1
Macular Degeneration,ProblemsDim,Diseases and disorders of the eye,1
Macular Edema,ProblemsDim,Diseases and disorders of the eye,1
"Myopia, Hyperopia",ProblemsDim,Diseases and disorders of the eye,1
Nystagmus,ProblemsDim,Diseases and disorders of the eye,1
Ocular Hypertension,ProblemsDim,Diseases and disorders of the eye,1
Optic Neuritis,ProblemsDim,Diseases and disorders of the eye,1
Posterior Uveitis,ProblemsDim,Diseases and disorders of the eye,1
Primary Open Angle Glaucoma,ProblemsDim,Diseases and disorders of the eye,1
Primary Open-Angle Glaucoma (Poag),ProblemsDim,Diseases and disorders of the eye,1
Raised Intraocular Pressure,ProblemsDim,Diseases and disorders of the eye,1
Reduced Visual Aucity,ProblemsDim,Diseases and disorders of the eye,1
Retinal Detachment,ProblemsDim,Diseases and disorders of the eye,1
Retinal Round Hole Without Detachment,ProblemsDim,Diseases and disorders of the eye,1
Retinopathy,ProblemsDim,Diseases and disorders of the eye,1
Retinopathy With Macular Edema,ProblemsDim,Diseases and disorders of the eye,1
Vision Problem,ProblemsDim,Diseases and disorders of the eye,1
Visual Defects,ProblemsDim,Diseases and disorders of the eye,1
Visual Disturbances,ProblemsDim,Diseases and disorders of the eye,1
Visual Symptoms,ProblemsDim,Diseases and disorders of the eye,1
Vitreomacular Traction,ProblemsDim,Diseases and disorders of the eye,1
Vitreous Detachment,ProblemsDim,Diseases and disorders of the eye,1
Vitreous Hemorrhage,ProblemsDim,Diseases and disorders of the eye,1
Vitreous Opacities,ProblemsDim,Diseases and disorders of the eye,1
Diseases and disorders of the female reproductive system,ProblemsDim,,0
Absence Of Cervix,ProblemsDim,Diseases and disorders of the female reproductive system,1
Amenorrhea,ProblemsDim,Diseases and disorders of the female reproductive system,1
Gynecological Examination,ProblemsDim,Diseases and disorders of the female reproductive system,1
Hysterectomy,ProblemsDim,Diseases and disorders of the female reproductive system,1
Infertility,ProblemsDim,Diseases and disorders of the female reproductive system,1
Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim,Diseases and disorders of the female reproductive system,1
Intrauterine Device (Iud) Monitoring,ProblemsDim,Diseases and disorders of the female reproductive system,1
Irregular Menstruation,ProblemsDim,Diseases and disorders of the female reproductive system,1
Menopause,ProblemsDim,Diseases and disorders of the female reproductive system,1
Menorrhagia,ProblemsDim,Diseases and disorders of the female reproductive system,1
Other Female Reproductive Conditions,ProblemsDim,Diseases and disorders of the female reproductive system,1
Ovarian Failure,ProblemsDim,Diseases and disorders of the female reproductive system,1
Polycystic Ovaries,ProblemsDim,Diseases and disorders of the female reproductive system,1
Vaginal Bleeding,ProblemsDim,Diseases and disorders of the female reproductive system,1
Vaginal Hemorrhage,ProblemsDim,Diseases and disorders of the female reproductive system,1
Vaginal Stenosis,ProblemsDim,Diseases and disorders of the female reproductive system,1
Diseases and disorders of the hepatobiliary system and pancreas,ProblemsDim,,0
Acute Hepatitis C,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Acute Liver Failure,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Acute Pancreatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Autoimmune Hepatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Biliary Disease,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Cholelithiasis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Hepatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Hepatitis B,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Hepatitis C,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Liver Disease,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Liver Failure,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic Pancreatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Chronic_Hepatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Cirrhosis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Cirrhosis of Liver,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Decompensated Cirrhosis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Digestive System,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
End Stage Liver Disease,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hep B Vaccine Administration,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatic,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatic Encephalopathy,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatic System,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis A,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis A Infection,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis B,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis C,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatitis C Chronic infection,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Hepatomegaly,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
"Hepatomegaly, Splenomegaly",ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Jaundice,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Abscess,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Cirrhosis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Damage,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Disease,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Disorders,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver System,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Liver Transplant Complications,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Pancreas Transplant,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Pancreatic And Gland Disorders,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Pancreatitis,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas,1
Diseases and disorders of the hepatobiliary system and pancreas / Diseases and disorders of the kidney and urinary tract,ProblemsDim,,0
Hepatorenal Syndrome,ProblemsDim,Diseases and disorders of the hepatobiliary system and pancreas / Diseases and disorders of the kidney and urinary tract,1
Diseases and disorders of the kidney and urinary tract,ProblemsDim,,0
Acute Kidney Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Acute Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Acute Renal Insufficiency /Acute Kidney Injury,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Acute Renal Insufficiency/Acute Kidney Injury,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Albuminuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Bladder Diverticulum,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
"Chronic Kidney Disease (Ckd) , End-Stage Kidney Disease",ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
"Chronic Kidney Disease (Ckd) Stage 2, 3, 4",ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Kidney Disease 4,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Kidney Disease 5,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Kidney Disease Stage 5,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Kidney Disease Stage 6,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Chronic Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Ckd (Chronic Kidney Disease) With Proteinuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Cystitis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Diabetic Nephropathy,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Dialysis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Dialysis System,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Dysuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
End Stage Renal Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
End-Stage Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
End-Stage Renal Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
End-Stage Renal Disease (Esrd) And Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Glomerulonephritis And Nephrotic Syndrome,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Glucosuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Glycosuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Hematuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Hemorrhagic Cystitis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Hypertensive Renal Disease With Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Impaired Renal Tubular Function,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Kidney Complications,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Kidney Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Kidney Transplant,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Kidney Transplantation,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Nephropathy,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Nephropathy Treatment,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Nephrotic Syndrome,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Peritoneal Dialysis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Polyuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Proteinuria,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Artery Atherosclerosis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Artery Stenosis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Disorders,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Failure,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Function Tests Outside Reference Range,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Impairment,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Renal Tubular Acidosis (Rta),ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Solitary Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urinary Hesitancy,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urinary Incontinence,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urinary Retention,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urinary Tract Infection,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urinary Tract Infection (Uti),ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urine Color,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Urolithiasis,ProblemsDim,Diseases and disorders of the kidney and urinary tract,1
Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,ProblemsDim,,0
Chronic Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,1
Chronic Kidney Disease (Ckd) Caused Or Exacerbated By Hypertension,ProblemsDim,Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,1
Chronic Kidney Disease (Ckd)/Hypertension (High Blood Pressure),ProblemsDim,Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,1
Hypertensive Chronic Kidney Disease,ProblemsDim,Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,1
Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,ProblemsDim,,0
Urogenital Disorders,ProblemsDim,Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,1
Diseases and disorders of the male reproductive system,ProblemsDim,,0
Benign Prostatic Hyperplasia (Bph),ProblemsDim,Diseases and disorders of the male reproductive system,1
Enlarged Prostate Gland,ProblemsDim,Diseases and disorders of the male reproductive system,1
Epididmytitis,ProblemsDim,Diseases and disorders of the male reproductive system,1
Erectile Dysfunction (Ed),ProblemsDim,Diseases and disorders of the male reproductive system,1
Impotence,ProblemsDim,Diseases and disorders of the male reproductive system,1
Priapism,ProblemsDim,Diseases and disorders of the male reproductive system,1
Prostate Cancer,ProblemsDim,Diseases and disorders of the male reproductive system,1
Prostate Dysplasia,ProblemsDim,Diseases and disorders of the male reproductive system,1
Sterility,ProblemsDim,Diseases and disorders of the male reproductive system,1
Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,ProblemsDim,,0
Genital Herpes,ProblemsDim,Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,1
Sexual Dysfunction,ProblemsDim,Diseases and disorders of the male reproductive system / Diseases and disorders of the female reproductive system,1
Diseases and disorders of the musculoskeletal system and connective tissue,ProblemsDim,,0
"Infection Of Bone, Joint And Muscle",ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Abnormal Gait,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Acute Gout,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Amputation Complication,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Amputation Of Limb,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Amputation System,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Ankylosing Spondylitis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Arthralgia,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Arthritis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Arthropathy,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Aspiration Joint,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bilateral Amputation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bilateral Amputee Feet And Legs,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bilateral Amputees,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bilateral Traumatic Amputation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bone Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bone Pelvic Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bursitis And Tendinitis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Bursitis Tendinitis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Emaciation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Exercise Counseling,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Exercise Counselling,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fasciitis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fatigue,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fibromyalgia,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Foot Amputation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Foot Deformity,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fracture,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fracture And Dislocation Of Hip,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
"Fracture Of Femur, Hip And Pelvis",ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fracture Of Hip And Spine,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Fractures,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
"Fractures Involving The Hip, Spine, And Distal Radius (Wrist)",ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Frailty,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Gait Disturbance,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Gout,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Gout Tophi/Gouty Tophus,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
"Hip And Femur Bone, Excluding Major Joint-Related Concerns",ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Hip Fracture,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Hip Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Hip Pelvic Fracture,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Hyperhidrosis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Jaw Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Joint Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Leg Weakness,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Limb Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Lower Extremity Amputation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Lower Extremity Effusion,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Lower Limb Amputation,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Major Joint Lower Extremity,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Major Joint Upper Extremity,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Malaise,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Malaise And Fatigue,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Mitochondrial Myopathy,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscle Atrophy And Neck Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscle Pain And Cramp,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscle Spasm,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscle Weakness And Neck Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscoskeletal Disorders,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscular Atrophy,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscular Dystrophy,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Muscular Pian And Disease,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Musculoskeletal Pain,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Myalgia,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Myoneural Disorders,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Myopathy,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Myositis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Neck And Back Ache,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Neck And Backaches,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteoarthritis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteodystrophies,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteonecrosis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteopenia,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteoporosis,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Osteoporosis/Fragility/Fracture,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Pain Of The Sternum,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Pelvic Fracture,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Physical Activity Counseling,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Physical Activity Counselling,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
Physical Restraint,ProblemsDim,Diseases and disorders of the musculoskeletal system and connective tissue,1
